Data,Categoria,Regiao,Vendas,Lucro,Quantidade
2025-06-08,Roupas,Oeste,626,269,18
2025-08-25,Roupas,Oeste,566,141,15
2025-10-05,Brinquedos,Leste,308,211,14
2025-06-02,Livros,Oeste,538,66,4
2025-08-11,Eletrônicos,Sul,314,462,2
2025-07-29,Livros,Oeste,287,200,14
2025-04-07,Livros,Oeste,111,404,7
2025-04-26,Brinquedos,Oeste,547,451,13
2025-06-30,Roupas,Norte,162,373,10
2025-06-01,Brinquedos,Leste,295,283,4
2025-06-07,Roupas,Oeste,244,173,1
2025-01-05,Eletrônicos,Oeste,683,312,8
2025-09-04,Eletrônicos,Leste,998,243,3
2025-03-27,Livros,Norte,865,151,5
2025-08-14,Brinquedos,Norte,592,302,2
2025-05-06,Alimentos,Oeste,450,462,10
2025-03-22,Roupas,Sul,607,465,18
2025-04-03,Alimentos,Leste,981,223,16
2025-12-01,Brinquedos,Sul,388,368,12
2025-03-18,Brinquedos,Leste,387,407,14
2025-02-25,Eletrônicos,Sul,857,315,3
2025-07-16,Eletrônicos,Leste,637,220,18
2025-03-09,Alimentos,Norte,644,266,10
2025-10-11,Roupas,Oeste,952,156,3
2025-11-30,Roupas,Leste,613,160,11
2025-02-16,Roupas,Leste,432,365,8
2025-04-16,Eletrônicos,Leste,685,184,19
2025-05-02,Livros,Norte,934,369,12
2025-09-12,Roupas,Leste,978,230,20
2025-12-07,Alimentos,Oeste,879,210,10
2025-06-10,Livros,Sul,605,83,11
2025-11-10,Roupas,Leste,181,444,12
2025-08-13,Eletrônicos,Norte,842,270,1
2025-04-03,Livros,Oeste,345,229,7
2025-04-16,Livros,Leste,587,410,12
2025-05-14,Brinquedos,Leste,967,397,19
2025-05-12,Livros,Norte,117,474,18
2025-05-08,Alimentos,Sul,984,263,13
2025-10-16,Roupas,Leste,236,59,1
2025-10-22,Alimentos,Leste,607,67,8
2025-09-20,Alimentos,Sul,937,82,14
2025-05-09,Alimentos,Sul,633,302,14
2025-09-16,Alimentos,Oeste,622,246,17
2025-03-06,Eletrônicos,Norte,375,254,14
2025-03-14,Livros,Oeste,804,62,16
2025-08-14,Livros,Oeste,611,439,14
2025-05-23,Eletrônicos,Leste,583,86,8
2025-04-20,Alimentos,Norte,370,320,15
2025-08-26,Alimentos,Oeste,340,354,6
2025-07-16,Livros,Sul,832,145,9
2025-10-30,Alimentos,Norte,319,458,8
2025-06-16,Brinquedos,Leste,370,446,14
2025-12-26,Livros,Sul,380,142,19
2025-04-08,Roupas,Norte,686,73,16
2025-01-07,Livros,Sul,244,297,16
2025-06-27,Roupas,Leste,426,73,10
2025-04-22,Eletrônicos,Norte,920,76,1
2025-10-18,Livros,Norte,734,449,10
2025-12-23,Livros,Sul,396,106,13
2025-11-24,Brinquedos,Norte,743,402,7
2025-08-27,Brinquedos,Leste,954,215,12
2025-06-24,Brinquedos,Sul,835,134,2
2025-10-12,Eletrônicos,Leste,606,276,18
2025-10-24,Livros,Oeste,483,267,18
2025-04-22,Eletrônicos,Sul,723,330,7
2025-08-04,Eletrônicos,Oeste,981,374,7
2025-01-11,Brinquedos,Sul,415,294,8
2025-08-15,Alimentos,Sul,445,160,1
2025-12-08,Alimentos,Oeste,584,500,3
2025-05-25,Brinquedos,Oeste,656,216,18
2025-04-10,Livros,Norte,704,57,11
2025-09-17,Alimentos,Oeste,488,306,18
2025-05-17,Eletrônicos,Norte,575,223,16
2025-08-26,Brinquedos,Oeste,516,251,17
2025-04-01,Brinquedos,Oeste,159,349,15
2025-04-20,Roupas,Oeste,714,323,1
2025-04-24,Alimentos,Sul,975,187,20
2025-01-03,Alimentos,Sul,912,148,5
2025-02-22,Roupas,Norte,721,465,7
2025-02-25,Roupas,Norte,949,444,1
2025-03-28,Alimentos,Norte,702,125,12
2025-08-17,Eletrônicos,Oeste,513,107,17
2025-05-04,Roupas,Leste,883,148,13
2025-07-04,Livros,Sul,733,400,6
2025-11-03,Livros,Oeste,623,498,12
2025-09-01,Alimentos,Sul,756,497,17
2025-10-01,Livros,Sul,227,342,13
2025-11-27,Alimentos,Leste,117,266,3
2025-02-24,Eletrônicos,Sul,377,90,1
2025-07-01,Alimentos,Leste,434,255,11
2025-07-19,Alimentos,Norte,534,233,2
2025-01-06,Brinquedos,Oeste,886,347,13
2025-06-01,Livros,Sul,733,405,1
2025-07-31,Eletrônicos,Leste,670,167,20
2025-07-06,Roupas,Oeste,308,138,7
2025-09-01,Eletrônicos,Sul,419,281,13
2025-07-11,Livros,Leste,991,332,2
2025-11-06,Livros,Oeste,717,232,3
2025-09-13,Livros,Norte,833,375,16
2025-02-27,Brinquedos,Leste,656,436,5
2025-05-14,Brinquedos,Oeste,144,385,10
2025-11-25,Alimentos,Sul,688,416,20
2025-10-17,Livros,Sul,456,382,16
2025-02-14,Alimentos,Oeste,421,470,15
2025-07-09,Livros,Norte,282,473,13
2025-11-24,Livros,Sul,588,386,15
2025-01-05,Brinquedos,Leste,115,447,15
2025-03-07,Brinquedos,Leste,505,188,7
2025-04-29,Brinquedos,Leste,822,468,18
2025-06-17,Eletrônicos,Norte,498,438,8
2025-08-16,Eletrônicos,Oeste,877,202,7
2025-03-10,Livros,Leste,932,461,6
2025-10-21,Eletrônicos,Norte,728,341,7
2025-09-14,Eletrônicos,Oeste,115,255,6
2025-05-14,Eletrônicos,Oeste,806,476,20
2025-01-10,Eletrônicos,Norte,250,115,8
2025-12-16,Eletrônicos,Leste,542,224,2
2025-01-14,Brinquedos,Oeste,684,472,17
2025-04-22,Alimentos,Leste,763,338,15
2025-02-09,Alimentos,Oeste,607,139,12
2025-06-08,Livros,Oeste,220,53,8
2025-11-07,Eletrônicos,Sul,140,283,18
2025-05-19,Eletrônicos,Leste,425,155,11
2025-03-09,Roupas,Oeste,144,279,4
2025-12-26,Alimentos,Leste,683,285,10
2025-07-21,Livros,Oeste,393,206,8
2025-06-12,Alimentos,Leste,217,243,5
2025-04-12,Alimentos,Leste,345,444,12
2025-09-14,Livros,Leste,704,374,20
2025-08-18,Alimentos,Oeste,333,115,19
2025-04-06,Eletrônicos,Norte,764,80,10
2025-01-28,Eletrônicos,Oeste,384,425,15
2025-02-09,Brinquedos,Oeste,547,191,16
2025-03-13,Roupas,Leste,414,219,13
2025-10-01,Livros,Oeste,904,398,19
2025-08-25,Brinquedos,Norte,309,488,12
2025-10-17,Brinquedos,Sul,323,296,9
2025-08-26,Livros,Sul,993,332,20
2025-01-14,Alimentos,Sul,787,302,3
2025-03-17,Eletrônicos,Leste,952,407,14
2025-03-05,Brinquedos,Sul,656,67,4
2025-09-24,Roupas,Oeste,765,334,17
2025-03-15,Brinquedos,Leste,939,454,3
2025-12-05,Eletrônicos,Norte,960,161,18
2025-11-23,Livros,Sul,229,469,2
