Data,Categoria,Regiao,Produto,Vendas,Lucro,Quantidade
2025-10-08,Eletrônicos,Norte,Produto A,833,412,9
2025-01-28,Roupas,Oeste,Produto B,724,51,17
2025-12-18,Livros,Leste,Produto C,127,126,14
2025-01-06,Livros,Sul,Produto A,296,409,7
2025-07-16,Eletrônicos,Oeste,Produto E,790,338,3
2025-01-12,Brinquedos,Leste,Produto C,384,174,14
2025-12-06,Livros,Oeste,Produto C,994,157,1
2025-12-01,Brinquedos,Oeste,Produto D,670,371,12
2025-11-27,Livros,Leste,Produto E,640,407,18
2025-05-27,Roupas,Oeste,Produto C,542,78,4
2025-05-01,Alimentos,Sul,Produto B,436,409,15
2025-07-26,Eletrônicos,Oeste,Produto B,998,433,6
2025-04-12,Brinquedos,Norte,Produto C,384,448,18
2025-11-26,Eletrônicos,Sul,Produto C,646,387,18
2025-04-07,Eletrônicos,Sul,Produto C,276,422,10
2025-10-20,Alimentos,Sul,Produto C,411,362,9
2025-01-23,Eletrônicos,Leste,Produto B,551,496,10
2025-06-21,Livros,Leste,Produto B,721,325,20
2025-12-30,Brinquedos,Norte,Produto E,750,368,1
2025-05-28,Livros,Oeste,Produto E,753,386,5
2025-08-10,Eletrônicos,Sul,Produto B,707,297,5
2025-09-05,Eletrônicos,Norte,Produto A,511,203,18
2025-06-29,Roupas,Leste,Produto B,244,488,9
2025-08-06,Alimentos,Sul,Produto D,368,188,13
2025-04-08,Roupas,Oeste,Produto E,268,63,11
2025-02-19,Roupas,Norte,Produto C,165,311,14
2025-02-25,Brinquedos,Oeste,Produto A,513,290,2
2025-01-31,Brinquedos,Norte,Produto C,489,449,16
2025-09-18,Brinquedos,Sul,Produto E,953,493,19
2025-10-10,Alimentos,Sul,Produto D,260,87,9
2025-07-16,Alimentos,Sul,Produto D,172,82,3
2025-08-11,Roupas,Norte,Produto A,476,56,18
2025-09-14,Roupas,Oeste,Produto A,631,184,19
2025-10-15,Roupas,Norte,Produto B,724,131,12
2025-02-21,Brinquedos,Oeste,Produto E,878,342,7
2025-04-12,Brinquedos,Oeste,Produto D,135,396,4
2025-11-16,Roupas,Sul,Produto A,797,71,3
2025-05-28,Roupas,Norte,Produto B,969,290,2
2025-11-14,Alimentos,Oeste,Produto C,592,304,15
2025-11-09,Roupas,Sul,Produto C,348,209,3
2025-09-13,Alimentos,Sul,Produto D,533,487,13
2025-06-13,Eletrônicos,Sul,Produto E,408,272,12
2025-01-25,Livros,Leste,Produto B,526,267,15
2025-05-13,Roupas,Leste,Produto E,369,454,11
2025-02-04,Livros,Leste,Produto B,552,388,7
2025-09-08,Livros,Sul,Produto B,785,331,13
2025-11-22,Brinquedos,Leste,Produto D,938,293,1
2025-03-25,Livros,Sul,Produto B,181,493,10
2025-06-10,Roupas,Norte,Produto A,704,196,15
2025-12-04,Livros,Sul,Produto C,801,484,6
2025-07-20,Alimentos,Sul,Produto E,557,86,8
2025-02-06,Brinquedos,Sul,Produto C,567,463,16
2025-08-23,Alimentos,Norte,Produto D,527,483,11
2025-03-27,Alimentos,Leste,Produto A,160,459,9
2025-04-25,Alimentos,Leste,Produto E,601,67,11
2025-04-02,Alimentos,Norte,Produto E,358,346,11
2025-05-15,Eletrônicos,Sul,Produto C,563,465,10
2025-03-29,Livros,Leste,Produto E,992,442,14
2025-09-12,Roupas,Leste,Produto D,823,427,3
2025-10-01,Alimentos,Norte,Produto E,155,85,10
2025-05-12,Roupas,Oeste,Produto B,480,298,4
2025-06-05,Eletrônicos,Sul,Produto A,883,385,14
2025-11-19,Brinquedos,Leste,Produto E,539,182,10
2025-06-04,Roupas,Norte,Produto E,562,489,10
2025-03-28,Brinquedos,Oeste,Produto C,940,339,11
2025-02-14,Brinquedos,Leste,Produto C,403,123,6
2025-10-20,Brinquedos,Oeste,Produto E,806,500,16
2025-01-24,Livros,Leste,Produto D,589,472,13
2025-08-09,Brinquedos,Leste,Produto A,920,249,5
2025-12-18,Alimentos,Oeste,Produto D,753,120,15
2025-12-09,Eletrônicos,Norte,Produto A,703,143,2
2025-04-16,Roupas,Norte,Produto E,116,296,5
2025-08-28,Eletrônicos,Oeste,Produto C,963,327,11
2025-07-04,Eletrônicos,Oeste,Produto E,222,204,12
2025-09-27,Brinquedos,Oeste,Produto A,989,264,1
2025-05-08,Brinquedos,Leste,Produto D,388,395,1
2025-06-26,Roupas,Sul,Produto E,720,491,19
2025-01-13,Eletrônicos,Oeste,Produto B,185,206,2
2025-07-15,Livros,Oeste,Produto D,463,73,19
2025-02-03,Eletrônicos,Sul,Produto C,126,146,19
2025-10-30,Livros,Oeste,Produto B,847,174,3
2025-01-14,Brinquedos,Oeste,Produto E,657,419,9
2025-09-18,Alimentos,Norte,Produto A,965,351,11
2025-10-01,Roupas,Norte,Produto B,228,305,4
2025-05-24,Roupas,Oeste,Produto C,876,356,16
2025-12-28,Livros,Norte,Produto E,246,382,16
2025-11-22,Livros,Leste,Produto D,172,418,9
2025-10-24,Alimentos,Oeste,Produto E,558,96,20
2025-11-19,Eletrônicos,Norte,Produto D,481,145,18
2025-06-29,Eletrônicos,Sul,Produto D,662,375,20
2025-09-14,Roupas,Oeste,Produto E,738,409,2
2025-03-22,Brinquedos,Oeste,Produto C,520,103,14
2025-03-14,Eletrônicos,Norte,Produto B,363,200,3
2025-03-20,Alimentos,Leste,Produto A,393,125,14
2025-06-10,Alimentos,Norte,Produto A,362,261,8
2025-06-06,Livros,Leste,Produto C,762,454,19
2025-08-07,Eletrônicos,Norte,Produto C,657,421,7
2025-08-13,Roupas,Norte,Produto B,447,274,2
2025-02-16,Alimentos,Sul,Produto B,367,240,1
2025-07-17,Livros,Norte,Produto B,100,135,17
2025-12-24,Eletrônicos,Leste,Produto E,742,246,15
2025-03-09,Eletrônicos,Leste,Produto D,858,176,7
2025-09-06,Alimentos,Norte,Produto C,890,228,14
2025-09-13,Brinquedos,Norte,Produto A,691,275,20
2025-06-02,Roupas,Norte,Produto E,491,106,17
2025-08-20,Roupas,Oeste,Produto B,121,360,18
2025-04-05,Roupas,Leste,Produto A,112,114,13
2025-11-22,Roupas,Leste,Produto D,126,222,16
2025-04-25,Roupas,Leste,Produto E,645,176,18
2025-09-17,Eletrônicos,Norte,Produto E,777,112,19
2025-03-23,Alimentos,Leste,Produto B,608,330,12
2025-05-10,Alimentos,Sul,Produto C,882,258,9
2025-04-18,Livros,Norte,Produto C,988,492,4
2025-08-15,Livros,Sul,Produto C,166,120,10
2025-05-22,Roupas,Oeste,Produto E,991,318,7
2025-12-24,Brinquedos,Norte,Produto D,873,140,3
2025-04-23,Alimentos,Norte,Produto D,962,293,13
2025-11-23,Alimentos,Leste,Produto B,420,383,14
2025-08-04,Brinquedos,Oeste,Produto C,667,405,12
2025-08-18,Alimentos,Sul,Produto D,539,198,5
2025-06-08,Roupas,Sul,Produto D,866,160,13
2025-02-04,Brinquedos,Leste,Produto D,333,179,8
2025-02-22,Livros,Norte,Produto B,292,258,1
2025-09-12,Alimentos,Leste,Produto E,596,271,3
2025-11-20,Livros,Norte,Produto C,486,65,18
2025-01-25,Livros,Norte,Produto E,652,424,14
2025-02-13,Brinquedos,Sul,Produto A,460,443,14
2025-03-04,Alimentos,Sul,Produto C,622,500,17
2025-05-29,Roupas,Norte,Produto E,757,241,5
2025-01-09,Livros,Oeste,Produto C,730,108,11
2025-03-05,Eletrônicos,Oeste,Produto E,433,89,3
2025-05-07,Livros,Leste,Produto D,392,232,16
2025-04-27,Brinquedos,Norte,Produto D,466,248,19
2025-02-04,Livros,Norte,Produto D,324,100,5
2025-07-30,Brinquedos,Norte,Produto D,623,360,8
2025-09-07,Brinquedos,Oeste,Produto E,646,449,5
2025-11-29,Brinquedos,Sul,Produto C,213,438,2
2025-12-13,Alimentos,Oeste,Produto C,759,63,13
2025-07-01,Brinquedos,Oeste,Produto C,364,388,18
2025-09-29,Brinquedos,Sul,Produto C,644,197,9
2025-08-13,Roupas,Norte,Produto B,802,333,15
2025-10-10,Roupas,Leste,Produto E,614,111,15
2025-09-17,Brinquedos,Norte,Produto E,891,479,7
2025-09-02,Brinquedos,Norte,Produto C,897,152,15
2025-03-24,Livros,Sul,Produto D,567,221,13
2025-06-23,Livros,Leste,Produto C,168,362,4
2025-12-14,Alimentos,Norte,Produto B,214,289,3
2025-05-25,Eletrônicos,Oeste,Produto E,718,320,16
2025-03-17,Brinquedos,Sul,Produto E,799,87,16
2025-06-27,Alimentos,Norte,Produto B,173,168,16
2025-03-29,Alimentos,Oeste,Produto D,486,355,9
2025-02-11,Eletrônicos,Oeste,Produto B,553,382,6
2025-10-10,Alimentos,Leste,Produto E,310,499,18
2025-06-08,Brinquedos,Sul,Produto B,853,338,7
2025-01-14,Eletrônicos,Oeste,Produto E,669,283,19
2025-07-07,Eletrônicos,Norte,Produto A,159,105,7
2025-08-06,Brinquedos,Norte,Produto E,217,156,1
2025-08-13,Livros,Leste,Produto B,395,228,17
2025-12-21,Eletrônicos,Sul,Produto D,944,303,17
2025-01-18,Alimentos,Oeste,Produto E,149,438,1
2025-03-27,Brinquedos,Sul,Produto A,398,195,16
2025-07-16,Eletrônicos,Oeste,Produto A,921,432,3
2025-12-17,Brinquedos,Leste,Produto D,362,438,15
2025-09-08,Alimentos,Sul,Produto A,942,117,14
2025-07-25,Roupas,Leste,Produto D,170,53,8
2025-07-27,Eletrônicos,Sul,Produto D,423,228,15
2025-04-02,Roupas,Sul,Produto B,876,117,16
2025-01-03,Roupas,Oeste,Produto E,422,230,8
2025-06-10,Alimentos,Oeste,Produto C,400,71,13
2025-07-03,Roupas,Oeste,Produto E,474,419,15
2025-07-06,Alimentos,Leste,Produto C,587,120,16
2025-09-20,Alimentos,Oeste,Produto D,809,293,5
2025-11-30,Livros,Norte,Produto D,163,378,6
2025-11-27,Brinquedos,Sul,Produto E,737,138,16
2025-06-19,Roupas,Oeste,Produto E,327,282,3
2025-06-16,Brinquedos,Sul,Produto C,537,380,8
2025-09-24,Alimentos,Oeste,Produto B,868,115,3
2025-03-09,Eletrônicos,Norte,Produto C,849,90,8
2025-11-06,Roupas,Leste,Produto D,187,74,13
2025-08-24,Roupas,Sul,Produto A,634,476,5
2025-07-16,Alimentos,Oeste,Produto E,593,330,7
2025-01-17,Brinquedos,Oeste,Produto B,827,299,17
2025-01-03,Alimentos,Leste,Produto E,543,278,8
2025-11-25,Livros,Sul,Produto A,112,284,17
2025-03-22,Livros,Leste,Produto E,298,151,7
2025-05-15,Livros,Sul,Produto A,529,486,13
2025-10-31,Eletrônicos,Norte,Produto D,618,233,4
2025-12-14,Brinquedos,Norte,Produto B,412,310,20
2025-06-26,Roupas,Leste,Produto D,516,65,1
2025-03-06,Brinquedos,Sul,Produto A,801,305,10
2025-11-15,Eletrônicos,Norte,Produto A,226,246,11
2025-11-20,Livros,Oeste,Produto D,628,101,17
2025-02-17,Roupas,Oeste,Produto E,252,271,16
2025-11-25,Livros,Leste,Produto C,476,143,17
2025-08-22,Livros,Norte,Produto D,978,166,17
2025-11-30,Roupas,Sul,Produto E,841,306,17
2025-05-22,Roupas,Leste,Produto A,724,293,8
2025-09-18,Brinquedos,Oeste,Produto B,209,477,5
2025-05-22,Alimentos,Sul,Produto D,634,245,12
2025-10-13,Livros,Leste,Produto C,938,394,7
2025-08-16,Eletrônicos,Oeste,Produto A,411,115,15
2025-02-07,Brinquedos,Oeste,Produto E,391,439,12
2025-09-28,Alimentos,Sul,Produto C,743,157,9
2025-05-06,Livros,Sul,Produto A,158,385,8
2025-07-18,Eletrônicos,Norte,Produto B,436,100,11
2025-10-17,Eletrônicos,Oeste,Produto A,662,192,13
2025-05-31,Livros,Oeste,Produto A,145,146,1
2025-11-27,Alimentos,Norte,Produto A,448,186,8
2025-07-16,Eletrônicos,Oeste,Produto D,491,331,4
2025-01-30,Livros,Leste,Produto E,691,218,12
2025-12-30,Eletrônicos,Sul,Produto E,817,199,8
2025-02-07,Livros,Leste,Produto D,878,217,20
2025-01-25,Eletrônicos,Sul,Produto C,740,188,14
2025-10-06,Livros,Norte,Produto A,511,139,11
2025-03-31,Livros,Leste,Produto C,823,166,16
2025-04-02,Eletrônicos,Norte,Produto D,869,305,9
2025-06-25,Eletrônicos,Leste,Produto D,362,391,12
2025-10-12,Livros,Leste,Produto B,768,232,7
2025-07-02,Alimentos,Leste,Produto A,1000,387,9
2025-08-18,Roupas,Oeste,Produto B,465,468,13
2025-02-05,Livros,Oeste,Produto A,318,158,20
2025-12-27,Eletrônicos,Sul,Produto A,928,346,2
2025-05-21,Livros,Norte,Produto B,686,449,20
2025-01-28,Eletrônicos,Oeste,Produto D,391,300,19
2025-05-22,Brinquedos,Sul,Produto A,324,252,19
2025-10-23,Roupas,Norte,Produto C,101,236,15
2025-09-30,Eletrônicos,Norte,Produto E,286,242,15
2025-03-14,Alimentos,Leste,Produto B,851,432,8
2025-05-21,Alimentos,Norte,Produto C,600,235,13
2025-07-11,Roupas,Sul,Produto D,535,474,1
2025-06-16,Livros,Oeste,Produto A,232,429,14
2025-05-05,Livros,Leste,Produto C,305,118,2
2025-07-08,Eletrônicos,Leste,Produto A,664,246,5
2025-05-23,Alimentos,Leste,Produto A,596,160,11
2025-01-20,Livros,Sul,Produto B,732,129,5
2025-07-07,Livros,Oeste,Produto A,764,97,17
